# productId	printed
G8904114	NM-037
G8904115	NM-043
G8904116	NM-044
G8904118	NM-063
G8904120	NM-082
G8904121	NM-085
G8904122	NM-121
G8904126	DMP-000J
G8904128	DMP-001
G8904129	DMP-002
G8904130	DMP-003
G8904131	DMP-004
G8904132	DMP-005
G8904133	DMP-006
G8904134	DMP-007
G8904135	DMP-008
G8904136	DMP-009
G8904137	DMP-010
G8904139	DMP-012
G8904140	DMP-013
G8904142	DMP-015
G8904143	DMP-016
G8904144	DMP-017
G8904145	DMP-018
G8922300	NM-112
G8922301	NM-113
G8922302	NM-114
G8922303	NM-115
G8922304	NM-116
G8922305	NM-117
G8922306	NM-118
G8922307	NM-119
G8922308	NM-120
G8922309	NM-121
G9007542	DN-001T
G9007543	DN-002T
G9007544	DN-003T
G9007545	DN-004T
G9007546	DN-005T
G9007547	DN-006T
G9007548	DN-007T
G9007549	DN-008T
G9007550	DN-009T
G9007551	DN-010T
G9007552	DN-011T
G9007553	DN-012T
G9007554	DN-013T
G9007555	DN-014T
G9007556	DN-015T
G9007557	DN-016T
G9007558	DN-017T
G9007559	DN-018T
G9007560	DN-019T
G9007561	DN-020T
G9007562	DN-021T
G9007563	DN-022T
G9007564	DN-023T
G9007565	DN-024T
G9007566	DN-025T
G9007567	DN-026T
G9007568	DN-027T
G9007569	DN-028T
G9007570	DN-029T
G9007571	DN-030T
G9007572	DN-031T
G9007573	DN-032T
G9007574	DN-033T
G9007575	DN-034T
G9007576	DN-035T
G9007577	DN-036T
G9007578	DN-037T
G9007579	DN-038T
G9007580	DN-039T
G9007581	DN-040T
G9007582	DN-041T
G9007583	DN-042T
G9007584	DN-043T
G9007585	DN-044T
G9007586	DN-045T
G9007587	DN-046T
G9007588	DN-047T
G9007589	DN-048T
G9007590	DN-049T
G9007591	DN-050T
G9007592	DNP-001
G9007593	DNP-002
G9007594	DNP-003
G9007595	DNP-004
G9007596	DNP-005
G9007597	DNP-006
G9007598	DNP-007
G9007599	DNP-008
G9007600	DNP-009
G9007601	DNP-010
G9007602	DNP-011
G9007603	DNP-012
G9007604	DNP-013
G9008358	DN-051T
G9008359	DN-052T
G9008360	DN-053T
G9008361	DN-054T
G9008362	DN-055T
G9008363	DN-056T
G9008364	DN-057T
G9008365	DN-058T
G9008366	DN-059T
G9008367	DN-060T
G9008368	DN-061T
G9008369	DN-062T
G9008370	DN-063T
G9008371	DN-064T
G9008372	DN-065T
G9008788	DNP-014
G9008789	DNP-015
G9008790	DNP-016
G9008791	DNP-017
G9008792	DNP-018
G9008894	DN-066T
G9008895	DN-067T
G9008896	DN-068T
G9008897	DN-069T
G9008898	DN-070T
G9008899	DN-071T
G9008900	DN-072T
G9008901	DN-073T
G9008902	DN-074T
G9008903	DN-075T
G9008904	DN-076T
G9008905	DN-077T
G9008906	DN-078T
G9008907	DN-079T
G9008908	DN-080T
G9008909	DN-081T
G9008910	DN-082T
G9009815	DN-083T
G9009816	DN-084T
G9009817	DN-085T
G9009818	DN-086T
G9009819	DN-087T
G9009820	DN-088T
G9009821	DN-089T
G9009822	DN-090T
G9009823	DN-091T
G9009824	DN-092T
G9009825	DN-093T
G9009826	DN-094T
G9009827	DN-095T
G9009828	DN-096T
G9009829	DN-097T
G9009830	DN-098T
G9009831	DN-099T
G9009832	DN-100T
G9009833	DN-101T
G9009834	DN-102T
G9009835	DN-103T
G9009836	DN-104T
G9009837	DN-105T
G9009838	DN-106T
G9009839	DN-107T
GG256438	NFP-019
GG456698	NFP-018
GG594245	NM-188
GG594246	NM-189
GG594247	NM-190
GG594248	NM-191
GG594249	NM-192
GG594250	NM-194
GG594251	NM-195
GG594252	NM-196
GG594253	NM-197
GG594254	NM-198
GG594255	NM-199
GG594256	NM-200
GG594257	NM-201
GG594258	NM-202
GG594259	NM-203
GG594260	NM-204
GG594261	NM-205
GG594262	NM-206
GG594263	NM-207
GG594264	NM-210
GG594265	NM-211
GG594266	NM-212
GG594267	NM-213
GG594268	NM-214
GG594269	NM-215
GG594270	NM-216
GG594271	NM-217
GG594272	NM-218
GG594273	NM-219
GG594274	NM-220
GG594275	NM-221
GG594276	NM-222
GG594277	NM-223
GG594278	NM-224
GG594279	NM-225
GG594280	NM-226
GG594281	NM-228
GG594282	NM-230
GG594283	NM-231
GG594284	NM-232
GG594285	NM-233
GG594286	NM-234
GG594287	NM-235
GG594288	NM-236
GG594289	NM-237
GG594290	NF-068
GG594291	NX-081
GG594292	NX-308
GG738380	NM-193
GG738381	NM-208
GG738382	NM-209
GG738383	NM-227
GG738384	NM-229
GG862375	DN-25T
GG862376	DN-25T
GG932910	DN-045T
GL126840	DN-005T
GL271391	NFP-001
GL344226	NF-234
GL344227	NF-335
GL344228	NX-183
GL344229	NFP-005
GL344231	NFP-007
GL344235	NF-103
GL344237	NF-105
GL344238	NF-106
GL344239	NF-107
GL344240	NF-108
GL344241	NF-109
GL344244	NF-112
GL344245	NF-113
GL344248	NF-116
GL344249	NF-117
GL344251	NF-119
GL344252	NF-120
GL344254	NF-122
GL344255	NF-123
GL344256	NF-124
GL344257	NF-125
GL344258	NF-126
GL344259	NF-127
GL344260	NF-128
GL344261	NF-129
GL344263	NF-131
GL344264	NF-132
GL344266	NF-134
GL344268	NF-136
GL344270	NF-138
GL344272	NF-140
GL344274	NF-142
GL344275	NF-143
GL344276	NF-144
GL344277	NF-145
GL344278	NF-146
GL344280	NF-148
GL344281	NF-149
GL344282	NF-150
GL344286	NF-154
GL344289	NF-157
GL344290	NF-158
GL344291	NF-159
GL344292	NF-160
GL344293	NF-161
GL344296	NF-164
GL344297	NF-165
GL344298	NF-166
GL344299	NF-167
GL344302	NF-170
GL344303	NF-171
GL344304	NF-172
GL344305	NF-173
GL344306	NF-174
GL344307	NF-175
GL344308	NF-176
GL344309	NF-177
GL344310	NF-178
GL344311	NF-179
GL344312	NF-180
GL344313	NF-181
GL344314	NF-182
GL344316	NF-184
GL344317	NF-185
GL344320	NF-188
GL344321	NF-189
GL344324	NF-192
GL344326	NF-194
GL344332	NFM-003
GL411553	NX-MAC-004
GL411554	NXPF-001
GL411555	NXPF-002
GL411556	NXPF-003
GL411557	NXPF-004
GL411558	NXPF-005
GL411559	NXPF-006
GL411560	NXPF-007
GL411561	NXPF-008
GL411562	NX-001
GL411563	NX-002
GL411564	NX-003
GL411565	NX-004
GL411566	NX-005
GL411567	NX-006
GL411568	NX-007
GL411569	NX-008
GL411570	NX-009
GL411571	NX-010
GL411572	NX-011
GL411573	NX-012
GL411574	NX-013
GL411575	NX-014
GL411576	NX-015
GL411577	NX-016
GL411578	NX-017
GL411579	NX-018
GL411580	NX-019
GL411581	NX-020
GL411582	NX-021
GL411583	NX-022
GL411584	NX-023
GL411585	NX-024
GL411586	NX-025
GL411587	NX-026
GL411588	NX-027
GL411589	NX-028
GL411590	NX-029
GL411591	NX-030
GL411592	NX-031
GL411593	NX-032
GL411594	NX-035
GL411595	NX-036
GL411596	NX-037
GL411597	NX-038
GL411598	NX-039
GL411599	NX-040
GL411600	NX-041
GL411601	NX-042
GL411602	NX-043
GL411603	NX-044
GL411604	NX-045
GL411605	NX-046
GL411606	NX-047
GL411607	NX-048
GL411608	NX-049
GL411609	NX-050
